year,barangay,green_index,mean_ndvi,gar,pixel_count,valid_land_pixels
2000,Niugan,39.92697271933359,0.1750359982252121,0.3104125736738703,509,509
2000,Pittland,56.72897176875353,0.23768223822116852,0.6238938053097345,688,678
2000,Casile,70.46193864767582,0.3170466423034668,0.8611233967271119,2263,2261
2000,Banlic,46.18385664277497,0.19117878377437592,0.4371584699453552,736,732
2000,Mamatid,57.48121133697501,0.24190902709960938,0.6565389696169088,757,757
2000,Baclaran,32.43643725112776,0.12534809112548828,0.14917127071823205,181,181
2000,Butong,26.80880817238277,0.1206049993634224,0.04788732394366197,355,355
2000,Bigaa,41.84705704429721,0.18060824275016785,0.34759358288770054,375,374
2000,Sala,47.22168924878499,0.198487788438797,0.45,780,780
2000,Pulo,57.05991222349493,0.24187909066677094,0.6295566502463055,1015,1015
2000,Banay-Banay,54.49042623518177,0.23305988311767578,0.5810234541577826,938,938
2000,Marinig,56.26499986545118,0.2351616621017456,0.6287519747235387,633,633
2000,Gulod,54.64609952435401,0.24036163091659546,0.5703703703703704,810,810
2000,San Isidro,50.614354880249465,0.2216932326555252,0.49612403100775193,903,903
2000,Diezmo,66.28385005128843,0.27192801237106323,0.8156182212581344,461,461
2000,Poblacion,57.538948629333504,0.2340913712978363,0.6285714285714286,140,140
2001,Niugan,42.0583049734077,0.17837660014629364,0.343811394891945,509,509
2001,Pittland,58.27925575153434,0.2331644594669342,0.67007299270073,688,685
2001,Casile,68.16286995822998,0.28397998213768005,0.8559434379142731,2263,2263
2001,Banlic,48.88400163020085,0.20740453898906708,0.47885402455661663,736,733
2001,Mamatid,61.51757229724662,0.2577587962150574,0.7305151915455746,757,757
2001,Baclaran,36.36153802385158,0.14064830541610718,0.22099447513812154,181,181
2001,Butong,33.23112750799336,0.14500175416469574,0.16056338028169015,355,355
2001,Bigaa,46.80750113152169,0.19640880823135376,0.456,375,375
2001,Sala,48.1597572602896,0.19811205565929413,0.4756410256410256,780,780
2001,Pulo,56.969935128965936,0.23577342927455902,0.6364532019704433,1015,1015
2001,Banay-Banay,52.63786896504036,0.2109648883342743,0.5682302771855011,938,938
2001,Marinig,58.26069336140768,0.23838986456394196,0.6761453396524486,633,633
2001,Gulod,53.59702114973054,0.22221913933753967,0.5728395061728395,810,810
2001,San Isidro,52.06577749669715,0.21690137684345245,0.5382059800664452,903,903
2001,Diezmo,67.37231406099149,0.26583990454673767,0.8590021691973969,461,461
2001,Poblacion,58.50543763786401,0.23400677740573883,0.6714285714285714,140,140
2002,Niugan,34.71492220414273,0.15106627345085144,0.206286836935167,509,509
2002,Pittland,56.12157136303229,0.21176421642303467,0.6568483063328424,688,679
2002,Casile,56.21335677745763,0.2209867238998413,0.643774922463447,2263,2257
2002,Banlic,38.000011519545794,0.15803100168704987,0.28337874659400547,736,734
2002,Mamatid,30.015230891029173,0.14255110919475555,0.09907529722589167,757,757
2002,Baclaran,21.698584996385552,0.06980951130390167,0.0,181,181
2002,Butong,30.422838691273675,0.13078701496124268,0.11549295774647887,355,355
2002,Bigaa,41.35478238196161,0.1794513761997223,0.34933333333333333,375,375
2002,Sala,43.57343260297408,0.17330661416053772,0.39871794871794874,780,780
2002,Pulo,39.17005281534213,0.16369764506816864,0.2916256157635468,1015,1015
2002,Banay-Banay,36.403404052302726,0.16097895801067352,0.2302771855010661,938,938
2002,Marinig,45.621350667662355,0.19545581936836243,0.4186413902053712,633,633
2002,Gulod,46.637143976627584,0.1816956102848053,0.4604938271604938,810,810
2002,San Isidro,37.450092245629605,0.15452706813812256,0.2768549280177187,903,903
2002,Diezmo,51.05116675356364,0.2008165717124939,0.544468546637744,461,461
2002,Poblacion,50.714735705826286,0.2088100165128708,0.5071428571428571,140,140
2003,Niugan,37.65772866692019,0.16389332711696625,0.26129666011787817,509,509
2003,Pittland,54.44951202952985,0.2021237015724182,0.622093023255814,688,688
2003,Casile,57.58006740562604,0.23431240022182465,0.6592920353982301,2263,2260
2003,Banlic,42.04164051382498,0.17192691564559937,0.3619047619047619,736,735
2003,Mamatid,51.351576620318035,0.20171155035495758,0.5561426684280053,757,757
2003,Baclaran,32.86249807838712,0.13083018362522125,0.16022099447513813,181,181
2003,Butong,31.77603278160451,0.13644234836101532,0.15492957746478872,355,355
2003,Bigaa,43.83142283265909,0.18409039080142975,0.39466666666666667,375,375
2003,Sala,42.890729673484756,0.17900624871253967,0.3730769230769231,780,780
2003,Pulo,49.16625061743704,0.19538575410842896,0.5024630541871922,1015,1015
2003,Banay-Banay,48.638261677857656,0.19513234496116638,0.488272921108742,938,938
2003,Marinig,56.87768474143477,0.22857949137687683,0.6513470681458003,633,631
2003,Gulod,47.482045246412376,0.20026569068431854,0.45555555555555555,810,810
2003,San Isidro,47.91305404363662,0.19438616931438446,0.46511627906976744,903,903
2003,Diezmo,60.6577127311213,0.22411882877349854,0.7440347071583514,461,461
2003,Poblacion,54.8170572434499,0.2135000377893448,0.6142857142857143,140,140
2004,Niugan,34.28499407805345,0.15430988371372223,0.1905697445972495,509,509
2004,Pittland,48.24644386630867,0.1838856041431427,0.487627365356623,688,687
2004,Casile,54.05767201501731,0.21514557301998138,0.5987599645704162,2263,2258
2004,Banlic,35.26517913292955,0.14627023041248322,0.2272108843537415,736,735
2004,Mamatid,46.8793706890741,0.1934223473072052,0.4570673712021136,757,757
2004,Baclaran,32.46424155532587,0.130519300699234,0.16022099447513813,181,181
2004,Butong,31.931904679985536,0.13818621635437012,0.15211267605633802,355,355
2004,Bigaa,41.90713547517201,0.18211637437343597,0.35733333333333334,375,375
2004,Sala,41.89153126993567,0.16557762026786804,0.36923076923076925,780,780
2004,Pulo,47.37681749601999,0.18906152248382568,0.4660098522167488,1015,1015
2004,Banay-Banay,43.25719576425308,0.17968319356441498,0.3720682302771855,938,938
2004,Marinig,54.391519127658924,0.21471333503723145,0.6050552922590837,633,633
2004,Gulod,51.95500242621609,0.2066088318824768,0.5617283950617284,810,810
2004,San Isidro,48.42146669222687,0.1899218112230301,0.49612403100775193,903,903
2004,Diezmo,46.084968959390714,0.19404470920562744,0.42950108459869846,461,461
2004,Poblacion,54.57677545481782,0.2119288146495819,0.6142857142857143,140,140
2005,Niugan,32.435656708742265,0.14529892802238464,0.14538310412573674,509,509
2005,Pittland,45.136811979532446,0.17939673364162445,0.4335766423357664,688,685
2005,Casile,50.59796663158674,0.20251387357711792,0.5310008857395926,2263,2258
2005,Banlic,29.08094434552712,0.12684136629104614,0.0927694406548431,736,733
2005,Mamatid,36.5391346752949,0.1637934297323227,0.23778071334214002,757,757
2005,Baclaran,30.303728538677955,0.12106778472661972,0.1270718232044199,181,181
2005,Butong,31.079731889481423,0.1343967467546463,0.14084507042253522,355,355
2005,Bigaa,36.632769183996494,0.170115128159523,0.232,375,375
2005,Sala,38.29690393824881,0.16138216853141785,0.2858974358974359,780,780
2005,Pulo,42.92061288325183,0.17539864778518677,0.37733990147783253,1015,1015
2005,Banay-Banay,39.709166113834364,0.169716939330101,0.30597014925373134,938,938
2005,Marinig,53.67131756772014,0.2223813235759735,0.5750394944707741,633,633
2005,Gulod,49.97930207951549,0.2016950398683548,0.5185185185185185,810,810
2005,San Isidro,37.55523011159837,0.15984968841075897,0.26356589147286824,903,903
2005,Diezmo,42.66776745803142,0.1819988638162613,0.35357917570498915,461,461
2005,Poblacion,48.44983362818463,0.2042716145515442,0.4714285714285714,140,140
2006,Niugan,34.55326083597211,0.1548130065202713,0.1925343811394892,509,509
2006,Pittland,52.55239107808742,0.2061050683259964,0.5778748180494906,688,687
2006,Casile,48.911926862738376,0.20313487946987152,0.4907161803713528,2263,2262
2006,Banlic,39.49914011277597,0.16652058064937592,0.3074829931972789,736,735
2006,Mamatid,49.04093116045835,0.19779260456562042,0.49933949801849403,757,757
2006,Baclaran,34.53915833950281,0.13880722224712372,0.20994475138121546,181,181
2006,Butong,33.13052429799258,0.14482250809669495,0.17464788732394365,355,355
2006,Bigaa,43.910961814222176,0.1932746171951294,0.37866666666666665,375,375
2006,Sala,41.38245983139315,0.17790691554546356,0.3333333333333333,780,780
2006,Pulo,49.932063765303674,0.20137621462345123,0.5192118226600986,1015,1015
2006,Banay-Banay,44.79529804851485,0.18645471334457397,0.40405117270788915,938,938
2006,Marinig,52.15138012697831,0.21227723360061646,0.5576619273301737,633,633
2006,Gulod,50.57063434833665,0.210641548037529,0.519753086419753,810,810
2006,San Isidro,44.683905417320936,0.18581196665763855,0.4019933554817276,903,903
2006,Diezmo,58.73507044376617,0.22406166791915894,0.7006507592190889,461,461
2006,Poblacion,55.30649508668872,0.2205146998167038,0.6142857142857143,140,140
2007,Niugan,27.37811204781448,0.12656128406524658,0.05304518664047151,509,509
2007,Pittland,49.924634675498986,0.19141802191734314,0.5276162790697675,688,688
2007,Casile,47.61851511131743,0.19213348627090454,0.47370746796288116,2263,2263
2007,Banlic,32.57266372073926,0.1401212364435196,0.17142857142857143,736,735
2007,Mamatid,40.323907466922265,0.1740654855966568,0.3157199471598415,757,757
2007,Baclaran,30.60531597037786,0.1174507886171341,0.12154696132596685,181,181
2007,Butong,26.311836385930302,0.10904430598020554,0.0480225988700565,355,354
2007,Bigaa,32.48557914511956,0.15308336913585663,0.15733333333333333,375,375
2007,Sala,33.902748683680265,0.14528116583824158,0.19487179487179487,780,780
2007,Pulo,41.66286683148056,0.1727551519870758,0.3448275862068966,1015,1015
2007,Banay-Banay,38.07482023786201,0.16302074491977692,0.27825159914712155,938,938
2007,Marinig,47.25434626787976,0.20333963632583618,0.44549763033175355,633,633
2007,Gulod,52.16041834157346,0.21073727309703827,0.5604938271604938,810,810
2007,San Isidro,43.665097465386154,0.17819280922412872,0.39424141749723146,903,903
2007,Diezmo,46.486415098895364,0.1917058825492859,0.4316702819956616,461,461
2007,Poblacion,33.2235321462454,0.16094094514846802,0.12857142857142856,140,140
2008,Niugan,31.447741145280204,0.14619934558868408,0.13359528487229863,509,509
2008,Pittland,53.38915012665834,0.21264399588108063,0.5872093023255814,688,688
2008,Casile,67.0873865436846,0.26575371623039246,0.8497340425531915,2263,2256
2008,Banlic,42.87707938738443,0.1791166514158249,0.3727891156462585,736,735
2008,Mamatid,55.20643208844834,0.2162260264158249,0.6301188903566711,757,757
2008,Baclaran,35.53519115325749,0.1411813348531723,0.20994475138121546,181,181
2008,Butong,28.34279633577667,0.1266551911830902,0.07042253521126761,355,355
2008,Bigaa,41.969145783481515,0.18427525460720062,0.3466666666666667,375,375
2008,Sala,42.57730581156168,0.16850560903549194,0.3730769230769231,780,780
2008,Pulo,52.3432498387249,0.20992645621299744,0.5596059113300492,1015,1015
2008,Banay-Banay,50.58623995812226,0.2050100415945053,0.523454157782516,938,938
2008,Marinig,46.444672928010085,0.19704626500606537,0.4312796208530806,633,633
2008,Gulod,55.86259569164249,0.22695522010326385,0.6296296296296297,810,810
